"state","region","year","public","hwy","water","other","private","gsp","emp","unemp"
4,9,1973,135988.40625,10.7592735290527,9.85663318634033,11.1539535522461,12.1732177734375,12.5904331207275,8.93878078460693,7
4,9,1974,136827.296875,10.7700109481812,9.85706520080566,11.158561706543,12.2263479232788,12.6062173843384,8.96626663208008,7.69999980926514
4,9,1975,138487.390625,10.7726745605469,9.88606262207031,11.1723127365112,12.2700653076172,12.626485824585,8.96791172027588,9.89999961853027
4,9,1976,139514.1875,10.7699289321899,9.9206714630127,11.1788349151611,12.3102474212646,12.6765766143799,9.00628852844238,9.19999980926514
4,9,1977,139910.21875,10.7608346939087,9.95296573638916,11.1810512542725,12.330696105957,12.7309198379517,9.05948257446289,8.19999980926514
4,9,1978,139408.84375,10.7466135025024,9.97844886779785,11.1757669448853,12.3628044128418,12.7927560806274,9.12693691253662,7.09999990463257
4,9,1979,140217.3125,10.7392721176147,10.0122213363647,11.1814661026001,12.4040060043335,12.8344888687134,9.17622470855713,6.19999980926514
4,9,1980,139776.96875,10.7276163101196,10.0400238037109,11.1739940643311,12.4502182006836,12.8485078811646,9.19510459899902,6.80000019073486
4,9,1981,139662.4375,10.715371131897,10.0558376312256,11.1750469207764,12.5651540756226,12.8438024520874,9.20886898040771,7.40000009536743
4,9,1982,139232.390625,10.7030305862427,10.0648593902588,11.1738023757935,12.6043252944946,12.8281021118164,9.19118785858154,9.89999961853027
4,9,1983,138535.65625,10.6925621032715,10.0786447525024,11.1659154891968,12.628755569458,12.8752546310425,9.2069149017334,9.69999980926514
4,9,1984,138101.546875,10.6879940032959,10.0791759490967,11.1624269485474,12.650785446167,12.9492588043213,9.26615333557129,7.80000019073486
4,9,1985,138170.9375,10.6820383071899,10.0908517837524,11.1631317138672,12.6895322799683,13.0037641525269,9.30373954772949,7.19999980926514
4,9,1986,139042.6875,10.677074432373,10.1101894378662,11.1718397140503,12.8043041229248,13.0488243103027,9.32883453369141,6.69999980926514
5,8,1970,11402.51953125,8.39008903503418,7.68018960952759,8.48348712921143,10.0736417770386,10.1538181304932,6.62033987045288,4.40000009536743
5,8,1971,11682.0595703125,8.4196949005127,7.68073415756226,8.51325130462646,10.1340751647949,10.2161426544189,6.66822814941406,4
5,8,1972,12010.91015625,8.46749687194824,7.66551446914673,8.54087829589844,10.1662425994873,10.2963399887085,6.76780319213867,3.59999990463257
5,8,1973,12473.2802734375,8.51362895965576,7.69913101196289,8.57256126403809,10.2178401947021,10.386438369751,6.84161567687988,3.40000009536743
5,8,1974,12964.1396484375,8.54553413391113,7.74607992172241,8.61394214630127,10.2668561935425,10.4054441452026,6.8666205406189,3.79999995231628
5,8,1975,13483.919921875,8.56084823608398,7.80965518951416,8.66501426696777,10.3069314956665,10.4220733642578,6.87057256698608,6.90000009536743
5,8,1976,14090.240234375,8.57887172698975,7.87001705169678,8.72494220733643,10.4539442062378,10.4694547653198,6.91114950180054,5.90000009536743
5,8,1977,14736.8896484375,8.60589790344238,7.91837739944458,8.7835168838501,10.4664134979248,10.530200958252,6.96423006057739,6.19999980926514
5,8,1978,15240.490234375,8.63025188446045,7.96829175949097,8.81790351867676,10.4971895217896,10.6096000671387,7.0475172996521,5.59999990463257
5,8,1979,15711.1103515625,8.64927196502686,8.03215599060059,8.84314632415771,10.5367441177368,10.6670236587524,7.10496520996094,4.80000019073486
5,8,1980,16272.5703125,8.65988826751709,8.09391784667969,8.88615894317627,10.5802507400513,10.689395904541,7.13177824020386,5.90000009536743
5,8,1981,16692.7109375,8.66914463043213,8.17873382568359,8.89670276641846,10.7289991378784,10.7076168060303,7.16642045974731,5.5
5,8,1982,17027.509765625,8.67351627349854,8.22122097015381,8.91764068603516,10.7581272125244,10.7200021743774,7.18280792236328,7.69999980926514
5,8,1983,17388.990234375,8.67894649505615,8.26843929290771,8.93751811981201,10.7731924057007,10.7477016448975,7.19082689285278,6.59999990463257
5,8,1984,17785.25,8.6899356842041,8.29412174224854,8.9672679901123,10.7866954803467,10.8063278198242,7.24586915969849,5.59999990463257
5,8,1985,18327.109375,8.70905208587646,8.33160305023193,9.00166034698486,10.8156356811523,10.8360452651978,7.25749635696411,5.90000009536743
5,8,1986,18889.5390625,8.72401237487793,8.37568473815918,9.03604698181152,10.7681703567505,10.8547782897949,7.25013875961304,7.40000009536743
6,1,1970,15865.66015625,8.88698101043701,7.69988775253296,8.76723861694336,10.0892353057861,10.5682353973389,7.08799123764038,5.59999990463257
6,1,1971,16559.990234375,8.89730453491211,7.78606986999512,8.83067607879639,10.132511138916,10.5588026046753,7.05987548828125,8.89999961853027
6,1,1972,17346.7890625,8.91024303436279,7.8794960975647,8.89519119262695,10.1731929779053,10.5975589752197,7.08204460144043,8.19999980926514
6,1,1973,17803.119140625,8.92160701751709,7.91613626480103,8.93192672729492,10.2147150039673,10.6491556167603,7.12181758880615,5.69999980926514
6,1,1974,18225.19921875,8.92940235137939,7.96589279174805,8.96103858947754,10.2692728042603,10.6412973403931,7.14203643798828,6.19999980926514
6,1,1975,18686.779296875,8.93400192260742,8.01543617248535,8.99639225006104,10.3191041946411,10.5933790206909,7.10938930511475,9.10000038146973
6,1,1976,18871.060546875,8.93423652648926,8.04048919677734,9.00939750671387,10.2266006469727,10.629246711731,7.12262487411499,9.5
6,1,1977,18798.5390625,8.92288780212402,8.06051158905029,9.00330543518066,10.2494974136353,10.6683969497681,7.15641069412231,7
6,1,1978,18566.240234375,8.90273857116699,8.06903839111328,8.98970985412598,10.2821645736694,10.7109451293945,7.20496654510498,5.30000019073486
6,1,1979,18487.060546875,8.89207077026367,8.10014343261719,8.97690010070801,10.3238229751587,10.7365703582764,7.2427978515625,5.09999990463257
6,1,1980,18385.98046875,8.88072490692139,8.12777614593506,8.96273994445801,10.3686065673828,10.7352876663208,7.2631893157959,5.90000009536743
6,1,1981,18271.33984375,8.86839199066162,8.13059520721436,8.95811176300049,10.3702249526978,10.7663145065308,7.27149534225464,6.19999980926514
6,1,1982,18030.080078125,8.85609817504883,8.12324047088623,8.94129848480225,10.4032754898071,10.7630176544189,7.26528978347778,6.90000009536743
6,1,1983,17739.880859375,8.84783554077148,8.11160373687744,8.91565418243408,10.4243192672729,10.8315887451172,7.2769021987915,6
6,1,1984,17494.359375,8.83793258666992,8.10181140899658,8.89606666564941,10.4469537734985,10.9172134399414,7.32679462432861,4.59999990463257
6,1,1985,17317.130859375,8.83370208740234,8.10562419891357,8.87380981445312,10.4861602783203,10.9727220535278,7.35391426086426,4.90000009536743
6,1,1986,17290.609375,8.83610343933105,8.10607719421387,8.86755752563477,10.606912612915,11.0308494567871,7.38038063049316,3.79999995231628
7,5,1970,4250.9501953125,7.63961839675903,5.45630359649658,7.56929302215576,8.71737766265869,8.83389949798584,5.37897539138794,4.80000019073486
7,5,1971,4405.91015625,7.6385498046875,5.44029426574707,7.64905881881714,8.75797557830811,8.90910053253174,5.41565561294556,5.69999980926514
7,5,1972,4560.7099609375,7.65221309661865,5.45356750488281,7.70608186721802,8.79522609710693,8.96559047698975,5.4484601020813,4.69999980926514
7,5,1973,4725.1201171875,7.66194105148315,5.64841079711914,7.74733781814575,8.83812999725342,9.05998229980469,5.47813558578491,4.59999990463257
7,5,1974,4927.52001953125,7.69416046142578,5.78173065185547,7.78643131256104,8.89066410064697,8.9589262008667,5.45146751403809,6
7,5,1975,4988.3701171875,7.69505739212036,5.85701847076416,7.80025720596313,8.93906021118164,8.93918800354004,5.43764448165894,9.69999980926514
7,5,1976,4959.8701171875,7.67852067947388,5.88220739364624,7.79969596862793,8.94977951049805,8.99479293823242,5.46679353713989,8.89999961853027
7,5,1977,4958.47021484375,7.67737722396851,5.99173927307129,7.78297805786133,8.96772766113281,9.02557563781738,5.47562646865845,8.39999961853027
7,5,1978,4954.2099609375,7.66617012023926,6.08893156051636,7.77417469024658,8.99973678588867,9.0347957611084,5.51262187957764,7.5
7,5,1979,4936.91015625,7.65155267715454,6.17817211151123,7.76254940032959,9.04025840759277,9.03121376037598,5.54790830612183,8
7,5,1980,4868.740234375,7.63589811325073,6.19105291366577,7.74463033676147,9.08379936218262,9.01188945770264,5.5576000213623,7.69999980926514
7,5,1981,4825.97021484375,7.62566328048706,6.19731950759888,7.73385858535767,9.11046695709229,9.02929782867432,5.5576000213623,7.90000009536743
7,5,1982,4786.3701171875,7.62010669708252,6.18984413146973,7.72304058074951,9.14074611663818,9.04014492034912,5.5576000213623,8.5
7,5,1983,4768.169921875,7.61567783355713,6.17891883850098,7.72131776809692,9.15765285491943,9.09189414978027,5.58387231826782,8.10000038146973
7,5,1984,4743.85986328125,7.61936092376709,6.18063735961914,7.70674800872803,9.17270183563232,9.1428108215332,5.63478946685791,6.19999980926514
7,5,1985,4731.490234375,7.62247800827026,6.19579219818115,7.69493913650513,9.20243263244629,9.17977809906006,5.68153667449951,5.30000019073486
7,5,1986,4716.72998046875,7.62664794921875,6.19853973388672,7.68364763259888,9.27378463745117,9.21751499176025,5.71439266204834,4.30000019073486
8,5,1970,29696.859375,9.4432201385498,8.33684349060059,9.46495723724365,10.9539251327515,11.1511087417603,7.67419958114624,4.40000009536743
8,5,1971,30683.08984375,9.46293544769287,8.36240196228027,9.51240539550781,11.0060586929321,11.2005405426025,7.73035049438477,4.90000009536743
8,5,1972,32089.119140625,9.50481510162354,8.3705587387085,9.57128620147705,11.0488872528076,11.3060607910156,7.82927227020264,4.5
8,5,1973,33480.98828125,9.54679107666016,8.35898971557617,9.6298999786377,11.1039381027222,11.4174823760986,7.9297022819519,4.30000019073486
8,5,1974,34650.2890625,9.58788013458252,8.36211204528809,9.66660308837891,11.1626968383789,11.4313144683838,7.95990467071533,6.19999980926514
8,5,1975,36103.75,9.62080192565918,8.39978504180908,9.71610355377197,11.2092447280884,11.4020166397095,7.91804599761963,11
8,5,1976,37942.609375,9.65107822418213,8.46083641052246,9.78007984161377,11.375919342041,11.4181423187256,7.93175172805786,9
8,5,1977,39393.890625,9.66717624664307,8.5949821472168,9.80910682678223,11.3930110931396,11.466347694397,7.9838490486145,8.19999980926514
8,5,1978,40859.3984375,9.67941188812256,8.71994495391846,9.83897495269775,11.4242858886719,11.5431051254272,8.0648250579834,6.59999990463257
8,5,1979,42107.12890625,9.69405078887939,8.79871273040771,9.86581611633301,11.4627733230591,11.6002130508423,8.12598609924316,6
8,5,1980,43192.98046875,9.70855236053467,8.85342979431152,9.89024448394775,11.5053834915161,11.6426982879639,8.18205642700195,5.90000009536743
8,5,1981,44311.6796875,9.72465229034424,8.91337108612061,9.91126441955566,11.5943841934204,11.6796684265137,8.22577095031738,6.80000019073486
8,5,1982,45492,9.73819732666016,8.96374797821045,9.9390697479248,11.6250743865967,11.6809873580933,8.23267936706543,8.19999980926514
8,5,1983,47116.8203125,9.75744152069092,9.00988483428955,9.98280048370361,11.6435289382935,11.7465896606445,8.27011585235596,8.60000038146973
8,5,1984,48538.98046875,9.77552700042725,9.04592418670654,10.0193719863892,11.6649360656738,11.8246068954468,8.34383964538574,6.30000019073486
8,5,1985,50336.62890625,9.79189014434814,9.07880878448486,10.0724296569824,11.701226234436,11.8856678009033,8.39163017272949,6
8,5,1986,52309.37109375,9.81411266326904,9.12391567230225,10.1205024719238,11.8180027008057,11.933403968811,8.43368148803711,5.69999980926514
9,5,1970,18270.439453125,8.98709583282471,7.64624404907227,9.00926113128662,10.6358022689819,10.6713943481445,7.35083723068237,4.09999990463257
9,5,1971,19275.619140625,9.01349449157715,7.67249250411987,9.09538173675537,10.6858568191528,10.7241039276123,7.37957000732422,3.90000009536743
9,5,1972,20167.44921875,9.03995323181152,7.68042039871216,9.16623592376709,10.7233295440674,10.8077459335327,7.43555593490601,4.09999990463257
9,5,1973,21015.05078125,9.06831741333008,7.72645950317383,9.21746158599854,10.7668418884277,10.8747205734253,7.49692964553833,3.90000009536743
9,5,1974,21882.26953125,9.10543823242188,7.83199024200439,9.24553298950195,10.8191747665405,10.8664712905884,7.51070404052734,5
9,5,1975,22713.5390625,9.12618160247803,7.93647050857544,9.28016662597656,10.8640213012695,10.8376178741455,7.47062301635742,8.60000038146973
9,5,1976,23556.369140625,9.15329551696777,8.01611042022705,9.31303024291992,10.9382333755493,10.9053869247437,7.5170316696167,8.10000038146973
9,5,1977,24124.150390625,9.17196464538574,8.06370162963867,9.33464431762695,10.9506683349609,10.9696626663208,7.56340837478638,6.90000009536743
9,5,1978,24622.130859375,9.18459796905518,8.08347702026367,9.36184024810791,10.9792175292969,11.0285310745239,7.62564373016357,5.69999980926514
9,5,1979,25631.19921875,9.21580219268799,8.11598968505859,9.41155433654785,11.0164375305176,11.0638999938965,7.66270303726196,5.09999990463257
9,5,1980,26685.369140625,9.23889923095703,8.14945125579834,9.46762847900391,11.0562896728516,11.0700073242188,7.67758560180664,6.40000009536743
9,5,1981,27546.849609375,9.25928115844727,8.18155002593994,9.50828647613525,11.1204433441162,11.102728843689,7.69557619094849,6.40000009536743
9,5,1982,28209.029296875,9.27049827575684,8.20783233642578,9.54103946685791,11.1468887329102,11.1089496612549,7.69689416885376,7.80000019073486
9,5,1983,28996.859375,9.30435657501221,8.24504280090332,9.56116485595703,11.1624631881714,11.1772432327271,7.73171138763428,7.5
9,5,1984,29702.75,9.32689952850342,8.26792144775391,9.58669757843018,11.1791896820068,11.2746305465698,7.80331230163574,6
9,5,1985,30068.259765625,9.33193111419678,8.27562046051025,9.60564613342285,11.2115449905396,11.3321352005005,7.85158348083496,6.5
9,5,1986,30991.330078125,9.35562133789062,8.30008888244629,9.64234733581543,11.3321018218994,11.3944463729858,7.8907322883606,5.90000009536743
10,8,1970,3410.21997070312,7.69347715377808,5.5893440246582,6.85506105422974,9.12718391418457,8.87835788726807,5.33657598495483,5.80000019073486
10,8,1971,3579.669921875,7.73047351837158,5.5470118522644,6.95322561264038,9.15783309936523,8.88944625854492,5.38035821914673,6.30000019073486
10,8,1972,3676.21997070312,7.76375246047974,5.51290416717529,6.97974109649658,9.18567848205566,8.974365234375,5.4659481048584,6.19999980926514
10,8,1973,3737.65991210938,7.78288221359253,5.46797561645508,7.00443744659424,9.23522281646729,9.0302562713623,5.52823781967163,5.59999990463257
10,8,1974,3813.93994140625,7.81077432632446,5.43136119842529,7.01969003677368,9.28039455413818,9.10164070129395,5.58649921417236,6
10,8,1975,3942.3701171875,7.83652782440186,5.43747043609619,7.07421016693115,9.31781196594238,9.1159200668335,5.60947179794312,6.19999980926514
10,8,1976,4105.580078125,7.84896087646484,5.52122068405151,7.16438007354736,9.42559623718262,9.18080902099609,5.67332315444946,5.69999980926514
10,8,1977,4255.83984375,7.86582088470459,5.60536098480225,7.22788763046265,9.43334102630615,9.20703506469727,5.72814989089966,6.09999990463257
10,8,1978,4398.0498046875,7.89139795303345,5.66704940795898,7.26871109008789,9.45824527740479,9.28989028930664,5.80302429199219,5.59999990463257
10,8,1979,4522.18994140625,7.91021633148193,5.6995735168457,7.31220006942749,9.49281597137451,9.2987174987793,5.82304573059082,5.59999990463257
10,8,1980,4605.7001953125,7.91594648361206,5.78139162063599,7.34008932113647,9.53033256530762,9.30583190917969,5.7990927696228,7.90000009536743
10,8,1981,4667.31005859375,7.92053747177124,5.82026100158691,7.36327981948853,9.53307342529297,9.30191612243652,5.79240369796753,7.5
10,8,1982,4699.9501953125,7.91908359527588,5.8503041267395,7.3798565864563,9.54826164245605,9.2526330947876,5.74364423751831,9.89999961853027
10,8,1983,4710.02978515625,7.92179679870605,5.88521480560303,7.37376976013184,9.54885578155518,9.29458999633789,5.76173686981201,9.80000019073486
10,8,1984,4769.759765625,7.93550872802734,5.92969560623169,7.37710237503052,9.55030822753906,9.32918930053711,5.8006067276001,7.19999980926514
10,8,1985,4819.31982421875,7.95086526870728,5.94787836074829,7.37673330307007,9.56736183166504,9.37712478637695,5.81711101531982,8
10,8,1986,4890.919921875,7.96765089035034,6.00736236572266,7.37678337097168,9.51871871948242,9.36494827270508,5.79362344741821,8.69999980926514
11,3,1970,52197.48828125,10.0682754516602,8.75808906555176,10.010217666626,11.6514768600464,11.8899364471436,8.37691879272461,4.09999990463257
11,3,1971,53805.62109375,10.0791893005371,8.79165363311768,10.0598440170288,11.6934375762939,11.9083604812622,8.36553287506104,5.09999990463257
11,3,1972,55540.359375,10.110613822937,8.80623531341553,10.0966606140137,11.7299671173096,11.9473857879639,8.36980628967285,5.09999990463257
11,3,1973,57288.30078125,10.14439868927,8.825852394104,10.1279163360596,11.7715454101562,12.0022716522217,8.40444946289062,4.09999990463257
11,3,1974,58984.1796875,10.1583662033081,8.86883544921875,10.1685819625854,11.8225574493408,11.99365234375,8.42193698883057,4.5
11,3,1975,60139.25,10.1684970855713,8.90139675140381,10.193473815918,11.8675088882446,11.966329574585,8.39364624023438,7.09999990463257
11,3,1976,61104.3984375,10.1782846450806,8.92570018768311,10.2130393981934,11.8553190231323,12.0021924972534,8.42632675170898,6.5
11,3,1977,62200.828125,10.1974821090698,8.94501972198486,10.2290325164795,11.8933162689209,12.0354442596436,8.44580459594727,6.19999980926514
11,3,1978,63096.48046875,10.2146501541138,8.98781871795654,10.2324771881104,11.9240770339966,12.0654706954956,8.47403526306152,6
11,3,1979,63642.80859375,10.2127065658569,9.04680347442627,10.2365341186523,11.962420463562,12.0657587051392,8.49290084838867,5.5
11,3,1980,64003.03125,10.2123517990112,9.11023426055908,10.2298402786255,12.0036840438843,12.0180673599243,8.48679542541504,8.30000019073486
11,3,1981,64549.30078125,10.2185297012329,9.16153240203857,10.2262716293335,11.9229726791382,12.0199174880981,8.46216678619385,8.5
11,3,1982,65064.19921875,10.2244291305542,9.23190593719482,10.2138242721558,11.9499292373657,11.9815406799316,8.43235397338867,11
11,3,1983,64751.98828125,10.2213230133057,9.25302028656006,10.1973857879639,11.9646110534668,11.9882650375366,8.41860961914062,11
11,3,1984,64460.25,10.2252283096313,9.25777053833008,10.1805124282837,11.9790964126587,12.0645208358765,8.44940662384033,9.10000038146973
11,3,1985,64487.37890625,10.2332077026367,9.26226329803467,10.1713314056396,12.0124549865723,12.0923042297363,8.46701526641846,9
11,3,1986,64726.05078125,10.2435808181763,9.26651000976562,10.1676473617554,11.9903945922852,12.1218700408936,8.47443199157715,8.10000038146973
12,3,1970,20813.650390625,9.09436416625977,7.94266796112061,9.11535167694092,11.0611038208008,10.9467458724976,7.52240037918091,5
12,3,1971,21665.599609375,9.12044334411621,7.97920179367065,9.17011642456055,11.0902414321899,10.9774656295776,7.51811838150024,5.69999980926514
12,3,1972,22368.0390625,9.14753818511963,7.98273706436157,9.21501064300537,11.1231803894043,11.0286283493042,7.56106948852539,4.5
12,3,1973,23230.939453125,9.17949867248535,7.98870944976807,9.26739597320557,11.1589584350586,11.10546875,7.61485481262207,4.19999980926514
12,3,1974,23652.30078125,9.20170116424561,7.9787015914917,9.2891674041748,11.2043447494507,11.0715169906616,7.61648035049438,5.90000009536743
12,3,1975,23945.55078125,9.21414470672607,7.98362445831299,9.30336475372314,11.2492628097534,11.0219020843506,7.57131910324097,8.60000038146973
12,3,1976,24259.119140625,9.22801876068115,8.01223659515381,9.31137084960938,11.221718788147,11.089485168457,7.61273241043091,6.09999990463257
12,3,1977,24506.310546875,9.25043392181396,8.01105976104736,9.31317806243896,11.2577486038208,11.1394243240356,7.65633726119995,5.69999980926514
12,3,1978,24639.619140625,9.26093292236328,8.01512241363525,9.31418800354004,11.2868156433105,11.1804828643799,7.69870948791504,5.69999980926514
12,3,1979,24744.990234375,9.26255321502686,8.0335807800293,9.31706047058105,11.3234844207764,11.1850738525391,7.71257781982422,6.40000009536743
12,3,1980,24799.6796875,9.26615619659424,8.05269145965576,9.31320476531982,11.3622446060181,11.1262331008911,7.66364240646362,9.60000038146973
12,3,1981,24976.640625,9.27045440673828,8.07407283782959,9.31891632080078,11.2943267822266,11.129246711731,7.6565260887146,10
12,3,1982,25108.7890625,9.27037239074707,8.10088920593262,9.3230152130127,11.3188724517822,11.0672941207886,7.61480522155762,12
12,3,1983,24983.98046875,9.26464939117432,8.09685707092285,9.31845378875732,11.3309192657471,11.0853834152222,7.61554479598999,11
12,3,1984,24835.599609375,9.25741386413574,8.10501766204834,9.30951404571533,11.3379402160645,11.1700830459595,7.66025590896606,8.60000038146973
12,3,1985,24905.939453125,9.26223564147949,8.1245059967041,9.30538463592529,11.3603534698486,11.2035703659058,7.68183708190918,7.90000009536743
